Player,Line
Emily," I got-- fuck-- an 18 still, but I did get a nat 20."
Murph, I am Blessed. okay. I have pretty good Dex… Nat 20! Hell yeah!
   Zac, 18 for the third one. A nat 20!
Ally," Yeah, cool. Nat 20."
Lou," Yeah, I'll do an Athletics check then. My old ass running around, a nat 20."
Ally," Cool. Advantage, right, for strength? Nat 20!"
Emily, Nat 20.
Emily," Okay, with disadvantage. Okay, I did get a nat 20, but I also got a 2."
Lou, Nat 20!
Lou, Four nat 20s.
Lou, Nat 20.
Siobhan," I can't give myself, can I give myself Bardic Inspiration? I didn't think so, that seemed like some bullshit. Nat 20, baby."
Murph, Nat 20.
Murph," Oh, nat 20!"
Murph, Oh god. Nat 20!
Emily, Oh that's a good nat 20.
Emily," Oh my god, I want to fucking do well so bad. [groans] 13 and 27, Nat 20!"
Ally, Okay. Nat 20.
Zac," Cool. So that would be, that's a 21 and a nat 20."
Ally, Yes and it was that one. And it was a nat 20.
Emily," Okay. Then… Oh, I got a nat 20 with my backhand."
Zac, Okay. Nat 20.
Lou, Nat 20.
Lou, I got a nat 20.
Siobhan," Nat 20, baby."
Siobhan, That is a nat 20.
Siobhan, That is a nat 20.
Zac," [casually] Okay, nat 20."
Emily," Oh, I got a nat 20."
Lou, Nat 20.
Zac," Okay, so… Ooh, a nat 20."
Siobhan," Great. And then the other ones, they are large, so it's plus 6. That's, one of them is a nat 20."
Emily, And I'm going after Robert Moses. First attack is a nat 20!
Ally, Nat 20 on Investigate.
Lou, Nat 20.
Ally," Fuck you, nat 20 and you die! 9!"
Lou, Nat 20.
Emily, Nat 20. And a 19.
Lou," Okay, insight first. That's gonna be a 28. Persuasion, Nat 20."
Ally," Nat 20! Nat 20, nat 20, nat 20! [laughs] Get us out of here!"
Zac," Okay, great. Nat 20."
Ally, Nat 20.
Ally, [points to their die] Nat fuckin' nat 20.
Lou, A nat 20.
Siobhan, Nat 20.
